category,group,party,latest_date,latest,change_since_start,trend_pp_per_month,first_date,n_polls,change_4w,change_12w,change_52w
Age,18-24,Con,2026-08-24,0.05,0.0,-0.0010279341807401118,2025-01-13,85,-0.020000000000000004,-0.05,-0.039999999999999994
Age,25-49,Con,2026-08-24,0.13,-0.03,-0.00045625030636072775,2025-01-13,85,-0.03,-0.01999999999999999,-0.01999999999999999
Age,50-64,Con,2026-08-24,0.19,-0.06,-0.0007958349703442803,2025-01-13,85,-0.010000000000000009,0.0,0.03
Age,65+,Con,2026-08-24,0.3,-0.04999999999999999,-0.001358324935729755,2025-01-13,85,-0.030000000000000027,0.04999999999999999,0.03999999999999998
Age,18-24,Green,2026-08-24,0.41,0.18999999999999997,0.014419397032321606,2025-01-13,85,0.02999999999999997,0.0,0.26999999999999996
Age,25-49,Green,2026-08-24,0.21,0.12,0.006413860801775636,2025-01-13,85,0.03999999999999998,-0.010000000000000009,0.06999999999999998
Age,50-64,Green,2026-08-24,0.09,0.03,0.002181323166820391,2025-01-13,85,0.01999999999999999,0.0,0.0
Age,65+,Green,2026-08-24,0.05,0.010000000000000002,0.0002588083323752835,2025-01-13,85,0.0,0.010000000000000002,0.020000000000000004
Age,18-24,Lab,2026-08-24,0.25,-0.10999999999999999,-0.010130370571654234,2025-01-13,85,-0.010000000000000009,0.09,-0.13
Age,25-49,Lab,2026-08-24,0.26,-0.07,-0.0055176831162740535,2025-01-13,85,0.010000000000000009,0.04000000000000001,0.03
Age,50-64,Lab,2026-08-24,0.21,-0.020000000000000018,-0.0015095984217813414,2025-01-13,85,-0.020000000000000018,0.03,0.009999999999999981
Age,65+,Lab,2026-08-24,0.19,0.04999999999999999,0.001116821897212128,2025-01-13,85,0.01999999999999999,0.04999999999999999,0.04999999999999999
Age,18-24,Lib Dem,2026-08-24,0.15,0.03,-0.002299858873062469,2025-01-13,85,0.01999999999999999,-0.03,-0.06
Age,25-49,Lib Dem,2026-08-24,0.15,-0.010000000000000009,-0.001547156109409918,2025-01-13,85,0.04999999999999999,0.01999999999999999,0.01999999999999999
Age,50-64,Lib Dem,2026-08-24,0.13,0.010000000000000009,-0.0018266984147319043,2025-01-13,85,0.020000000000000004,0.0,-0.03
Age,65+,Lib Dem,2026-08-24,0.12,-0.010000000000000009,-0.0005614527179299587,2025-01-13,85,0.0,0.0,-0.010000000000000009
Age,18-24,Other,2026-08-24,0.01,-0.01,0.0015426613704360348,2025-01-13,85,-0.060000000000000005,-0.01,-0.060000000000000005
Age,25-49,Other,2026-08-24,0.06,0.039999999999999994,0.0027620815844150628,2025-01-13,85,-0.010000000000000009,0.0,0.009999999999999995
Age,50-64,Other,2026-08-24,0.06,0.049999999999999996,0.0023347040762736536,2025-01-13,85,-0.010000000000000009,0.019999999999999997,0.019999999999999997
Age,65+,Other,2026-08-24,0.02,0.0,0.0010931668927405738,2025-01-13,85,-0.02,-0.009999999999999998,-0.009999999999999998
Age,18-24,Plaid Cymru,2026-08-24,0.04,0.02,0.0005153651792022889,2025-01-13,85,0.02,0.02,0.04
Age,25-49,Plaid Cymru,2026-08-24,0.02,0.01,0.0005125868378035943,2025-01-13,85,0.0,0.0,0.0
Age,50-64,Plaid Cymru,2026-08-24,0.01,-0.01,0.00027227882909250834,2025-01-13,85,0.0,0.0,0.0
Age,65+,Plaid Cymru,2026-08-24,0.01,0.01,1.524314713061501e-06,2025-01-13,85,0.0,0.01,0.0
Age,18-24,Reform UK,2026-08-24,0.04,-0.15,-0.003510727283615295,2025-01-13,85,-0.010000000000000002,-0.049999999999999996,-0.030000000000000006
Age,25-49,Reform UK,2026-08-24,0.15,-0.05000000000000002,-0.0020979358803075603,2025-01-13,85,-0.05000000000000002,-0.03,-0.1
Age,50-64,Reform UK,2026-08-24,0.28,0.0,-0.0004423407631014796,2025-01-13,85,0.0,-0.03999999999999998,-0.02999999999999997
Age,65+,Reform UK,2026-08-24,0.29,-0.010000000000000009,-0.00044973595329355704,2025-01-13,85,0.02999999999999997,-0.10000000000000003,-0.07
Age,18-24,SNP,2026-08-24,0.04,0.03,0.0002247575290010591,2025-01-13,85,0.02,0.010000000000000002,0.0
Age,25-49,SNP,2026-08-24,0.02,-0.009999999999999998,-0.00018424725337742694,2025-01-13,85,0.0,0.0,-0.009999999999999998
Age,50-64,SNP,2026-08-24,0.03,-0.010000000000000002,3.621996769587068e-05,2025-01-13,85,0.009999999999999998,0.0,-0.020000000000000004
Age,65+,SNP,2026-08-24,0.02,0.0,-4.488564881890852e-05,2025-01-13,85,-0.009999999999999998,0.0,-0.009999999999999998
EU Ref Vote,Leave,Con,2026-08-24,0.25,-0.09000000000000002,-0.0015339504126383433,2025-01-13,85,-0.03999999999999998,0.0,0.010000000000000009
EU Ref Vote,Remain,Con,2026-08-24,0.18,0.009999999999999981,0.0005953965037095772,2025-01-13,85,0.009999999999999981,0.03999999999999998,0.03
EU Ref Vote,Leave,Green,2026-08-24,0.06,0.03,0.000726993844576628,2025-01-13,85,0.03,0.019999999999999997,0.019999999999999997
EU Ref Vote,Remain,Green,2026-08-24,0.14,0.04000000000000001,0.004565093438205211,2025-01-13,85,-0.01999999999999999,-0.06,0.0
EU Ref Vote,Leave,Lab,2026-08-24,0.09,-0.010000000000000009,-0.000958861183517454,2025-01-13,85,-0.020000000000000004,0.01999999999999999,0.03
EU Ref Vote,Remain,Lab,2026-08-24,0.37,-0.020000000000000018,-0.003728610990192909,2025-01-13,85,0.02999999999999997,0.08000000000000002,0.04999999999999999
EU Ref Vote,Leave,Lib Dem,2026-08-24,0.08,0.03,-0.0004028732230151445,2025-01-13,85,0.04,0.020000000000000004,0.0
EU Ref Vote,Remain,Lib Dem,2026-08-24,0.18,-0.05000000000000002,-0.002336045912267686,2025-01-13,85,0.0,-0.020000000000000018,-0.020000000000000018
EU Ref Vote,Leave,Other,2026-08-24,0.07,0.060000000000000005,0.0034290659988207768,2025-01-13,85,-0.009999999999999995,0.020000000000000004,0.04000000000000001
EU Ref Vote,Remain,Other,2026-08-24,0.03,0.019999999999999997,0.0007104527661061783,2025-01-13,85,-0.020000000000000004,0.0,-0.020000000000000004
EU Ref Vote,Leave,Plaid Cymru,2026-08-24,0.01,0.01,8.540827262653579e-05,2025-01-13,85,0.01,0.0,0.0
EU Ref Vote,Remain,Plaid Cymru,2026-08-24,0.02,0.0,0.00039977245681215804,2025-01-13,85,0.0,0.0,0.0
EU Ref Vote,Leave,Reform UK,2026-08-24,0.44,-0.010000000000000009,-0.0013194501084751332,2025-01-13,85,-0.010000000000000009,-0.07,-0.10000000000000003
EU Ref Vote,Remain,Reform UK,2026-08-24,0.05,0.020000000000000004,6.326111862272024e-05,2025-01-13,85,0.0,-0.020000000000000004,-0.03
EU Ref Vote,Leave,SNP,2026-08-24,0.01,0.0,-7.846310514002097e-05,2025-01-13,85,0.0,0.0,-0.01
EU Ref Vote,Remain,SNP,2026-08-24,0.04,0.0,-7.490682814969132e-05,2025-01-13,85,0.0,-0.010000000000000002,-0.010000000000000002
Gender,Female,Con,2026-08-24,0.2,-0.04999999999999999,-0.0007802982108386877,2025-01-13,85,-0.03,-0.009999999999999981,0.010000000000000009
Gender,Male,Con,2026-08-24,0.19,-0.010000000000000009,-0.00024699935241549205,2025-01-13,85,0.0,0.03,0.03
Gender,Female,Green,2026-08-24,0.15,0.04999999999999999,0.004364753757042457,2025-01-13,85,0.0,-0.010000000000000009,0.03
Gender,Male,Green,2026-08-24,0.11,0.05,0.0036408263781577206,2025-01-13,85,0.0,-0.039999999999999994,0.03
Gender,Female,Lab,2026-08-24,0.23,-0.01999999999999999,-0.0029739627015510565,2025-01-13,85,0.010000000000000009,0.06,0.03
Gender,Male,Lab,2026-08-24,0.22,-0.05000000000000002,-0.0036288568718060017,2025-01-13,85,-0.010000000000000009,0.03,-0.010000000000000009
Gender,Female,Lib Dem,2026-08-24,0.14,-0.009999999999999981,-0.001165454533863049,2025-01-13,85,0.020000000000000018,-0.01999999999999999,-0.03
Gender,Male,Lib Dem,2026-08-24,0.12,-0.010000000000000009,-0.0019750179407679903,2025-01-13,85,0.01999999999999999,0.01999999999999999,0.0
Gender,Female,Other,2026-08-24,0.05,0.030000000000000002,0.0015616967820733128,2025-01-13,85,-0.009999999999999995,0.010000000000000002,0.010000000000000002
Gender,Male,Other,2026-08-24,0.05,0.04,0.002533443981598938,2025-01-13,85,-0.009999999999999995,0.010000000000000002,0.0
Gender,Female,Plaid Cymru,2026-08-24,0.01,0.0,0.0003288801604810241,2025-01-13,85,0.0,-0.01,0.0
Gender,Male,Plaid Cymru,2026-08-24,0.02,0.01,0.00025875482357797403,2025-01-13,85,0.0,0.01,0.01
Gender,Female,Reform UK,2026-08-24,0.19,0.0,-0.0012921318094186332,2025-01-13,85,0.0,-0.03,-0.04999999999999999
Gender,Male,Reform UK,2026-08-24,0.27,-0.02999999999999997,-0.0008313949962066645,2025-01-13,85,0.010000000000000009,-0.04999999999999999,-0.04999999999999999
Gender,Female,SNP,2026-08-24,0.03,0.0,2.155992925387061e-05,2025-01-13,85,0.009999999999999998,0.0,0.0
Gender,Male,SNP,2026-08-24,0.03,0.0,-9.573547050701561e-05,2025-01-13,85,0.0,0.0,0.0
Overall,All adults,Con,2026-08-24,0.2,-0.01999999999999999,-0.0005541206406782966,2025-01-13,85,-0.009999999999999981,0.020000000000000018,0.020000000000000018
Overall,All adults,Green,2026-08-24,0.13,0.05,0.003998665774146026,2025-01-13,85,0.0,-0.01999999999999999,0.03
Overall,All adults,Lab,2026-08-24,0.22,-0.04000000000000001,-0.0033586086329703267,2025-01-13,85,0.0,0.04000000000000001,0.010000000000000009
Overall,All adults,Lib Dem,2026-08-24,0.13,-0.010000000000000009,-0.0014804498474528221,2025-01-13,85,0.020000000000000004,0.0,-0.01999999999999999
Overall,All adults,Other,2026-08-24,0.05,0.030000000000000002,0.002032988548559421,2025-01-13,85,-0.009999999999999995,0.010000000000000002,0.010000000000000002
Overall,All adults,Plaid Cymru,2026-08-24,0.01,0.0,0.00021408869803007238,2025-01-13,85,0.0,0.0,0.0
Overall,All adults,Reform UK,2026-08-24,0.23,-0.01999999999999999,-0.001082762861715233,2025-01-13,85,0.010000000000000009,-0.04000000000000001,-0.05000000000000002
Overall,All adults,SNP,2026-08-24,0.03,0.0,-6.828408546746985e-05,2025-01-13,85,0.009999999999999998,0.0,0.0
Past Vote,Conservative,Con,2026-08-24,0.63,-0.16000000000000003,-0.005142010198557215,2025-01-13,85,-0.020000000000000018,0.06999999999999995,-0.010000000000000009
Past Vote,Labour,Con,2026-08-24,0.06,0.009999999999999995,0.000827730329601295,2025-01-13,85,0.019999999999999997,0.0,0.03
Past Vote,Liberal Democrat,Con,2026-08-24,0.08,0.04,0.0020467718659378355,2025-01-13,85,-0.05,0.0,0.05
Past Vote,Reform UK,Con,2026-08-24,0.07,0.030000000000000006,0.001064144544292877,2025-01-13,85,-0.009999999999999995,0.010000000000000009,0.010000000000000009
Past Vote,Conservative,Green,2026-08-24,0.02,0.01,0.00024956640266584685,2025-01-13,85,0.01,0.01,0.01
Past Vote,Labour,Green,2026-08-24,0.15,0.09999999999999999,0.007665024080742417,2025-01-13,85,0.009999999999999981,-0.04000000000000001,0.06
Past Vote,Liberal Democrat,Green,2026-08-24,0.11,0.08,0.005057426510217433,2025-01-13,85,0.020000000000000004,-0.020000000000000004,0.06
Past Vote,Reform UK,Green,2026-08-24,0.0,0.0,0.00014178870872359967,2025-01-13,85,-0.01,0.0,0.0
Past Vote,Conservative,Lab,2026-08-24,0.04,0.03,0.0002684591241769702,2025-01-13,85,0.0,0.010000000000000002,0.03
Past Vote,Labour,Lab,2026-08-24,0.57,-0.13,-0.009380758970061565,2025-01-13,85,-0.030000000000000027,0.05999999999999994,-0.020000000000000018
Past Vote,Liberal Democrat,Lab,2026-08-24,0.11,0.03,0.0007595724700146536,2025-01-13,85,0.009999999999999995,0.05,0.08
Past Vote,Reform UK,Lab,2026-08-24,0.02,0.01,8.303604927920585e-05,2025-01-13,85,-0.009999999999999998,0.02,0.02
Past Vote,Conservative,Lib Dem,2026-08-24,0.04,0.02,2.5450979232497847e-06,2025-01-13,85,0.02,-0.010000000000000002,0.0
Past Vote,Labour,Lib Dem,2026-08-24,0.1,0.0,-0.001041045208101059,2025-01-13,85,0.03,-0.009999999999999995,-0.03
Past Vote,Liberal Democrat,Lib Dem,2026-08-24,0.64,-0.14,-0.00966313038153867,2025-01-13,85,0.08999999999999997,0.010000000000000009,-0.08999999999999997
Past Vote,Reform UK,Lib Dem,2026-08-24,0.02,0.01,6.165585470347457e-05,2025-01-13,85,0.0,0.01,0.01
Past Vote,Conservative,Other,2026-08-24,0.02,0.02,0.001679154080246567,2025-01-13,85,-0.030000000000000002,0.01,0.01
Past Vote,Labour,Other,2026-08-24,0.01,0.0,0.0009072800749328054,2025-01-13,85,-0.019999999999999997,-0.01,-0.03
Past Vote,Liberal Democrat,Other,2026-08-24,0.02,0.02,0.0009269274076880179,2025-01-13,85,-0.009999999999999998,0.0,-0.02
Past Vote,Reform UK,Other,2026-08-24,0.13,0.12000000000000001,0.006737785224413655,2025-01-13,85,0.03,0.010000000000000009,0.1
Past Vote,Conservative,Plaid Cymru,2026-08-24,0.01,0.01,8.76021333161715e-05,2025-01-13,85,0.01,0.01,0.01
Past Vote,Labour,Plaid Cymru,2026-08-24,0.01,0.0,0.0005227493932308192,2025-01-13,85,0.0,0.0,0.0
Past Vote,Liberal Democrat,Plaid Cymru,2026-08-24,0.0,0.0,0.0003637939647143965,2025-01-13,85,-0.01,0.0,-0.01
Past Vote,Reform UK,Plaid Cymru,2026-08-24,0.0,0.0,3.7652357039197074e-05,2025-01-13,85,0.0,0.0,0.0
Past Vote,Conservative,Reform UK,2026-08-24,0.25,0.09,0.0031950102872720914,2025-01-13,85,0.01999999999999999,-0.09000000000000002,-0.03999999999999998
Past Vote,Labour,Reform UK,2026-08-24,0.09,0.009999999999999995,0.0004471524387978971,2025-01-13,85,-0.010000000000000009,0.0,-0.010000000000000009
Past Vote,Liberal Democrat,Reform UK,2026-08-24,0.05,-0.020000000000000004,0.00048200175807041045,2025-01-13,85,-0.020000000000000004,-0.020000000000000004,-0.05
Past Vote,Reform UK,Reform UK,2026-08-24,0.76,-0.17000000000000004,-0.007972559719179222,2025-01-13,85,0.0,-0.050000000000000044,-0.13
Past Vote,Conservative,SNP,2026-08-24,0.0,0.0,-6.10741180353029e-05,2025-01-13,85,-0.01,0.0,0.0
Past Vote,Labour,SNP,2026-08-24,0.01,0.01,-3.427993078833706e-05,2025-01-13,85,0.0,0.0,0.0
Past Vote,Liberal Democrat,SNP,2026-08-24,0.0,-0.01,1.6875851458738584e-06,2025-01-13,85,-0.01,0.0,-0.01
Past Vote,Reform UK,SNP,2026-08-24,0.0,0.0,2.896609560950073e-05,2025-01-13,85,0.0,0.0,-0.01
Region,London,Con,2026-08-24,0.2,0.0,0.0006364487274085108,2025-01-13,85,-0.01999999999999999,-0.009999999999999981,0.0
Region,Midlands,Con,2026-08-24,0.24,-0.030000000000000027,-0.0003598000132024974,2025-01-13,85,0.0,0.01999999999999999,0.03
Region,North,Con,2026-08-24,0.17,-0.009999999999999981,-0.0002233525800666048,2025-01-13,85,-0.009999999999999981,0.010000000000000009,0.010000000000000009
Region,Rest of South,Con,2026-08-24,0.24,-0.040000000000000036,-0.0009613651208273936,2025-01-13,85,-0.010000000000000009,0.03999999999999998,0.03999999999999998
Region,Scotland,Con,2026-08-24,0.07,-0.039999999999999994,-2.6501946892434954e-05,2025-01-13,85,-0.03,-0.06,-0.03
Region,Wales,Con,2026-08-24,0.1,-0.01999999999999999,-0.0019768687963466784,2025-01-13,85,-0.04000000000000001,0.0,0.03
Region,London,Green,2026-08-24,0.17,0.03,0.006295537758702345,2025-01-13,85,-0.04999999999999999,-0.1,0.06000000000000001
Region,Midlands,Green,2026-08-24,0.14,0.08000000000000002,0.003658533674005404,2025-01-13,85,0.010000000000000009,-0.01999999999999999,0.04000000000000001
Region,North,Green,2026-08-24,0.13,0.05,0.004520914379914861,2025-01-13,85,0.03,-0.01999999999999999,0.020000000000000004
Region,Rest of South,Green,2026-08-24,0.13,0.06,0.004026251617189065,2025-01-13,85,-0.010000000000000009,0.0,0.03
Region,Scotland,Green,2026-08-24,0.11,0.039999999999999994,0.002449717806036502,2025-01-13,85,0.0,0.0,0.08
Region,Wales,Green,2026-08-24,0.07,0.04000000000000001,0.0013535763729737706,2025-01-13,85,0.030000000000000006,-0.04999999999999999,-0.04999999999999999
Region,London,Lab,2026-08-24,0.31,-0.010000000000000009,-0.005067147275061746,2025-01-13,85,0.02999999999999997,0.02999999999999997,-0.03999999999999998
Region,Midlands,Lab,2026-08-24,0.25,-0.010000000000000009,-0.0023998037022910624,2025-01-13,85,0.010000000000000009,0.04000000000000001,0.04000000000000001
Region,North,Lab,2026-08-24,0.31,-0.03999999999999998,-0.003530602371764168,2025-01-13,85,-0.010000000000000009,0.07999999999999999,0.04999999999999999
Region,Rest of South,Lab,2026-08-24,0.15,-0.03,-0.002487381139239245,2025-01-13,85,0.0,0.009999999999999981,0.0
Region,Scotland,Lab,2026-08-24,0.2,-0.03,-0.001948255309991233,2025-01-13,85,-0.009999999999999981,0.07,0.04000000000000001
Region,Wales,Lab,2026-08-24,0.18,-0.10000000000000003,-0.006953331008155037,2025-01-13,85,0.009999999999999981,0.09999999999999999,-0.020000000000000018
Region,London,Lib Dem,2026-08-24,0.14,0.030000000000000013,-0.0008151969228471809,2025-01-13,85,0.06000000000000001,0.030000000000000013,-0.01999999999999999
Region,Midlands,Lib Dem,2026-08-24,0.11,0.009999999999999995,-0.0017676329346263248,2025-01-13,85,0.039999999999999994,0.009999999999999995,-0.009999999999999995
Region,North,Lib Dem,2026-08-24,0.07,-0.039999999999999994,-0.0015953661637641541,2025-01-13,85,0.010000000000000009,0.0,-0.01999999999999999
Region,Rest of South,Lib Dem,2026-08-24,0.21,0.0,-0.0017430326080689926,2025-01-13,85,0.03,-0.010000000000000009,0.0
Region,Scotland,Lib Dem,2026-08-24,0.06,-0.020000000000000004,-0.0007297694419344318,2025-01-13,85,-0.05,-0.05,-0.04000000000000001
Region,Wales,Lib Dem,2026-08-24,0.05,-0.020000000000000004,-0.00130252760832131,2025-01-13,85,0.020000000000000004,0.020000000000000004,-0.020000000000000004
Region,London,Other,2026-08-24,0.04,0.0,-0.00020189966840735349,2025-01-13,85,-0.010000000000000002,0.03,-0.030000000000000006
Region,Midlands,Other,2026-08-24,0.03,0.009999999999999998,0.0024979703930244953,2025-01-13,85,-0.020000000000000004,-0.03,-0.010000000000000002
Region,North,Other,2026-08-24,0.06,0.049999999999999996,0.002161829500354883,2025-01-13,85,-0.020000000000000004,0.019999999999999997,-0.010000000000000009
Region,Rest of South,Other,2026-08-24,0.05,0.04,0.0023957521259205237,2025-01-13,85,-0.009999999999999995,0.0,0.020000000000000004
Region,Scotland,Other,2026-08-24,0.06,0.06,0.00175463166890088,2025-01-13,85,0.009999999999999995,0.03,0.03
Region,Wales,Other,2026-08-24,0.02,0.01,0.002581217733452045,2025-01-13,85,-0.08,-0.030000000000000002,0.01
Region,London,Plaid Cymru,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Midlands,Plaid Cymru,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,North,Plaid Cymru,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Rest of South,Plaid Cymru,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Scotland,Plaid Cymru,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Wales,Plaid Cymru,2026-08-24,0.3,0.06,0.0055400319572831164,2025-01-13,85,0.04999999999999999,0.019999999999999962,0.04999999999999999
Region,London,Reform UK,2026-08-24,0.14,-0.04999999999999999,-0.0008172480934106626,2025-01-13,85,-0.009999999999999981,0.020000000000000018,0.030000000000000013
Region,Midlands,Reform UK,2026-08-24,0.23,-0.05000000000000002,-0.001502941378588028,2025-01-13,85,-0.04000000000000001,-0.03,-0.1
Region,North,Reform UK,2026-08-24,0.26,-0.010000000000000009,-0.0014489990228195972,2025-01-13,85,0.0,-0.08999999999999997,-0.06
Region,Rest of South,Reform UK,2026-08-24,0.22,-0.03,-0.001252564111839893,2025-01-13,85,0.0,-0.060000000000000026,-0.07999999999999999
Region,Scotland,Reform UK,2026-08-24,0.21,0.03,-0.0002697158949034841,2025-01-13,85,0.06,0.01999999999999999,0.01999999999999999
Region,Wales,Reform UK,2026-08-24,0.28,0.030000000000000027,0.0008074573555237118,2025-01-13,85,0.020000000000000018,-0.06,-0.009999999999999953
Region,London,SNP,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Midlands,SNP,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,North,SNP,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Rest of South,SNP,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Region,Scotland,SNP,2026-08-24,0.29,-0.040000000000000036,-0.0010246152632865596,2025-01-13,85,0.009999999999999953,0.0,-0.09000000000000002
Region,Wales,SNP,2026-08-24,0.0,0.0,0.0,2025-01-13,85,0.0,0.0,0.0
Social Grade,ABC1,Con,2026-08-24,0.21,-0.020000000000000018,2.7496661714191026e-05,2025-01-13,85,0.0,0.009999999999999981,0.01999999999999999
Social Grade,C2DE,Con,2026-08-24,0.18,-0.03,-0.0012826964248266247,2025-01-13,85,-0.03,0.01999999999999999,0.01999999999999999
Social Grade,ABC1,Green,2026-08-24,0.14,0.05000000000000002,0.004406612728762344,2025-01-13,85,0.010000000000000009,0.0,0.030000000000000013
Social Grade,C2DE,Green,2026-08-24,0.12,0.06,0.0031549747307220086,2025-01-13,85,-0.010000000000000009,-0.05000000000000002,0.03
Social Grade,ABC1,Lab,2026-08-24,0.26,0.0,-0.003551181306400723,2025-01-13,85,0.010000000000000009,0.05000000000000002,0.010000000000000009
Social Grade,C2DE,Lab,2026-08-24,0.17,-0.07999999999999999,-0.002600371138847482,2025-01-13,85,-0.01999999999999999,0.04000000000000001,0.010000000000000009
Social Grade,ABC1,Lib Dem,2026-08-24,0.14,-0.009999999999999981,-0.001459984790513099,2025-01-13,85,0.010000000000000009,-0.009999999999999981,-0.01999999999999999
Social Grade,C2DE,Lib Dem,2026-08-24,0.11,0.0,-0.001495896053609117,2025-01-13,85,0.03,0.009999999999999995,-0.020000000000000004
Social Grade,ABC1,Other,2026-08-24,0.04,0.02,0.0015417723011884523,2025-01-13,85,-0.010000000000000002,0.010000000000000002,-0.010000000000000002
Social Grade,C2DE,Other,2026-08-24,0.06,0.049999999999999996,0.0029049377250439387,2025-01-13,85,-0.03,0.0,0.019999999999999997
Social Grade,ABC1,Plaid Cymru,2026-08-24,0.01,0.0,0.00029110294958144126,2025-01-13,85,0.0,0.0,0.0
Social Grade,C2DE,Plaid Cymru,2026-08-24,0.01,-0.01,0.00010211124950935438,2025-01-13,85,0.0,-0.01,0.0
Social Grade,ABC1,Reform UK,2026-08-24,0.18,-0.020000000000000018,-0.0009375098013710381,2025-01-13,85,-0.010000000000000009,-0.06,-0.03
Social Grade,C2DE,Reform UK,2026-08-24,0.31,0.0,-0.0007272339481542886,2025-01-13,85,0.03999999999999998,-0.010000000000000009,-0.07
Social Grade,ABC1,SNP,2026-08-24,0.02,-0.009999999999999998,5.295861711022768e-05,2025-01-13,85,-0.009999999999999998,0.0,-0.009999999999999998
Social Grade,C2DE,SNP,2026-08-24,0.03,0.0,-0.0001021853386133194,2025-01-13,85,0.009999999999999998,-0.010000000000000002,-0.010000000000000002
